seed,job_0_details,job_1_details,job_0_stats,job_1_stats,avg_response,avg_turnaround
1,startTime 0 - runTime 4 - ioFreq 0,startTime 0 - runTime 23 - ioFreq 0,startTime 0 - response 0 - turnaround 4,startTime 0 - response 4 - turnaround 27,2.0,15.5
2,startTime 0 - runTime 28 - ioFreq 0,startTime 0 - runTime 2 - ioFreq 0,startTime 0 - response 0 - turnaround 30,startTime 0 - response 10 - turnaround 12,5.0,21.0
3,startTime 0 - runTime 7 - ioFreq 0,startTime 0 - runTime 11 - ioFreq 0,startTime 0 - response 0 - turnaround 7,startTime 0 - response 7 - turnaround 18,3.5,12.5
4,startTime 0 - runTime 7 - ioFreq 0,startTime 0 - runTime 12 - ioFreq 0,startTime 0 - response 0 - turnaround 7,startTime 0 - response 7 - turnaround 19,3.5,13.0
5,startTime 0 - runTime 19 - ioFreq 0,startTime 0 - runTime 24 - ioFreq 0,startTime 0 - response 0 - turnaround 29,startTime 0 - response 10 - turnaround 43,5.0,36.0
6,startTime 0 - runTime 24 - ioFreq 0,startTime 0 - runTime 15 - ioFreq 0,startTime 0 - response 0 - turnaround 39,startTime 0 - response 10 - turnaround 35,5.0,37.0
7,startTime 0 - runTime 10 - ioFreq 0,startTime 0 - runTime 19 - ioFreq 0,startTime 0 - response 0 - turnaround 10,startTime 0 - response 10 - turnaround 29,5.0,19.5
8,startTime 0 - runTime 7 - ioFreq 0,startTime 0 - runTime 4 - ioFreq 0,startTime 0 - response 0 - turnaround 7,startTime 0 - response 7 - turnaround 11,3.5,9.0
9,startTime 0 - runTime 14 - ioFreq 0,startTime 0 - runTime 5 - ioFreq 0,startTime 0 - response 0 - turnaround 19,startTime 0 - response 10 - turnaround 15,5.0,17.0
10,startTime 0 - runTime 17 - ioFreq 0,startTime 0 - runTime 17 - ioFreq 0,startTime 0 - response 0 - turnaround 27,startTime 0 - response 10 - turnaround 34,5.0,30.5
